timestamp,file_type,offset_hex,file_size,sha256,verification_status,is_duplicate
2026-02-18T07:52:20.287356Z,pdf,0x599000,244889,5a8ceccd20b7db7267d9f75ee2cfc2a141a4a26ac8f3947aaef0f3c4b53f16c0,unverified,No
2026-02-18T07:52:20.288057Z,docx,0x596000,9674,cd8f66aaf0f18fd6f80932a234ca9da51ce6807a60974e1cb2cf8835eb7c2818,failed,No
2026-02-18T07:52:20.288649Z,docx,0x596023,9639,cbba8330fcbce71c5420888b52a34741a458cf7180a86b2c5216f633d38c3418,failed,No
2026-02-18T07:52:20.290131Z,docx,0x59604C,9598,5212e9f23ed88e1b89ecf6c2702dd75e2c1f03962a889f8bcdf41a72d07a1692,failed,No
2026-02-18T07:52:20.290744Z,docx,0x596175,9301,6735d79fb347d9d913e1af2fdaa1bf0fe7d40d2028c940e9920c6655ccd06b50,failed,No
2026-02-18T07:52:20.291746Z,docx,0x596BB9,6673,c8c7afd5c6d8b09679e45e1326d0b4e031c3de17f0aadb99a0e8b08d1f6aca6c,failed,No
2026-02-18T07:52:20.292387Z,docx,0x596F1A,5808,bf6d8476765b3ec7fa521f6dbcea192e5197f877edcd84bafd93cefff680dbf6,failed,No
2026-02-18T07:52:20.293283Z,docx,0x596F41,5769,2d88d20e2895984c4b728dd1630e8ba2e88a8d1a75a253e0a1c0e473b73a7507,failed,No
2026-02-18T07:52:20.294426Z,docx,0x5970AA,5408,6d80a60e96b48d633d7fccf51e88dfa239d99f59480d07f2ca6b0f1c43d7b9d0,failed,No
2026-02-18T07:52:20.295069Z,docx,0x597361,4713,b8ccfbb4436f609ebc61e2cad3f36729f78b4da7e3485c41fc77441d46476450,failed,No
2026-02-18T07:52:20.295913Z,docx,0x597385,4677,2b9462ce5cba6777ddcbadfae18b8325b8132ef9423304b44500104f671d3d44,failed,No
2026-02-18T07:52:20.296920Z,docx,0x597494,4406,bc31df14b300d141c1f478fd69611bdc144bedba8427832bad17c9571fb35214,failed,No
2026-02-18T07:52:20.297638Z,docx,0x597656,3956,79218879ee6094dd7866230be6bd29371d4b5c82aed14f475cacfd3483e93f44,failed,No
2026-02-18T07:52:20.298147Z,docx,0x597719,3761,d18e9e11fce3a4ed26ef49cfd5a8ca9c50751b06c1844bd2fa4c7cc7560281c3,failed,No
2026-02-18T07:52:20.299371Z,docx,0x5977DA,3568,6a3a20732d7259e82cc49eba999ade5ba2fb26ecb9c62cd1d298cb4cea9b0bc5,failed,No
2026-02-18T07:52:20.299927Z,docx,0x5979CC,3070,67b4ae399e9770fbc90bb326080e4fd19091220c26d13f76e42caa2937efb440,failed,No
2026-02-18T07:52:20.300488Z,docx,0x597A74,2902,d8430cfcb1043619cb0b056741b0dd6f06b4ea3d2f0f0bee6e7087589d2519f8,failed,No
2026-02-18T07:52:20.301623Z,docx,0x597C43,2439,e7bd9bdf94009e69a03c540be20e0b2ff392c80a1cdaeadd388c54cd6eb68c9d,failed,No
2026-02-18T07:52:20.302207Z,docx,0x597E37,1939,07eb3cd5bdd879e74a101448e321b10b52cdf5396a3dc389604e9a4bcf58d2f7,failed,No
2026-02-18T07:52:20.302666Z,docx,0x597EDE,1772,6d5554060ee576ec2b9e5fe005ac4be9014aceeaf735393441793c04526d6345,failed,No
2026-02-18T07:52:20.303439Z,docx,0x59802B,1439,ef62c22416e9d3312df27de691dc4edd5a0a486c3d036ec4d901b846a9330045,failed,No
2026-02-18T07:52:20.305019Z,png,0x589000,51556,9548cd656b94fd8768c2cf3c6859509cebb4bfdc956843b77e9dc62473f1190b,unverified,No
